Date,Open,High,Low,Close,Adj Close,Volume
2014-01-14,54.685001,55.662498,54.582500,55.662498,52.110565,10851600
2014-01-15,55.712502,56.224998,55.457500,55.939999,52.370361,11288000
2014-01-16,55.797501,55.939999,55.322498,55.442501,51.904606,13514000
2014-01-17,55.512501,58.064999,55.509998,58.044998,54.341030,38344400
2014-01-21,58.597500,58.875000,57.705002,57.982498,54.282520,19752400
2014-01-22,58.099998,58.455002,57.919998,58.247501,54.530617,7254400
2014-01-23,57.915001,58.082500,56.915001,57.062500,53.421227,13662400
2014-01-24,56.599998,56.740002,55.312500,55.312500,51.782902,16043200
2014-01-27,55.517502,55.517502,53.779999,54.055000,50.605648,19470800
2014-01-28,54.404999,55.590000,54.349998,55.240002,51.715027,17852400
2014-01-29,54.775002,55.185001,54.125000,54.279999,50.816284,16800000
2014-01-30,56.437500,56.500000,54.077499,55.220001,51.696308,20040400
2014-01-31,54.032501,54.724998,53.777500,53.857498,50.420746,24457200
2014-02-03,54.127499,54.459999,53.017502,53.367500,49.962021,21662400
2014-02-04,53.540001,53.970001,52.845001,53.634998,50.212448,14913600
2014-02-05,53.310001,54.185001,53.279999,53.902500,50.462875,13520800
2014-02-06,54.020000,54.752499,53.945000,54.752499,51.258636,12721600
2014-02-07,55.047501,55.500000,54.615002,55.445000,51.906937,12537200
2014-02-10,55.472500,55.532501,54.997501,55.137501,51.619068,10316800
2014-02-11,55.282501,55.722500,55.012501,55.582500,52.035671,9809600
2014-02-12,55.860001,56.224998,55.722500,56.042500,52.846622,14650800
2014-02-13,55.712502,56.187500,55.615002,56.012501,52.818336,13158800
2014-02-14,56.067501,56.560001,55.877499,56.500000,53.278034,12682000
2014-02-18,56.619999,57.119999,56.404999,56.514999,53.292187,13427200
2014-02-19,56.467499,56.947498,55.919998,55.970001,52.778255,9322000
2014-02-20,56.040001,56.242500,55.647499,55.865002,52.679249,8810000
2014-02-21,55.932499,56.167500,55.744999,55.840000,52.655674,9136000
2014-02-24,55.932499,56.857498,55.867500,56.547501,53.322830,10817200
2014-02-25,56.547501,57.107498,56.372501,56.777500,53.539715,11339600
2014-02-26,56.807499,56.974998,56.314999,56.527500,53.303974,10413600
2014-02-27,56.547501,56.950001,56.400002,56.570000,53.344044,8097600
2014-02-28,56.617500,56.997501,55.174999,56.485001,53.263893,14004000
2014-03-03,55.810001,56.009998,54.897499,55.360001,52.203045,16422800
2014-03-04,56.287498,56.492500,55.645000,56.375000,53.160164,14884800
2014-03-05,56.404999,56.450001,55.575001,55.702499,52.526012,11328400
2014-03-06,55.939999,56.517502,55.830002,55.965000,52.773548,9120400
2014-03-07,56.237499,56.432499,55.884998,56.389999,53.174305,8971200
2014-03-10,56.377499,56.592499,56.180000,56.375000,53.160164,7350400
2014-03-11,56.487499,57.097500,56.157501,56.794998,53.556217,11062800
2014-03-12,56.529999,56.919998,56.322498,56.525002,53.301617,9394800
2014-03-13,56.665001,56.872501,55.107498,55.195000,52.047455,11996400
2014-03-14,55.154999,55.480000,54.639999,55.192501,52.045090,13692000
2014-03-17,55.497501,55.970001,55.345001,55.945000,52.754696,8800000
2014-03-18,56.150002,56.692501,55.812500,56.602501,53.374695,8304800
2014-03-19,56.652500,56.772499,55.500000,55.955002,52.764122,7888800
2014-03-20,56.029999,56.029999,55.227501,55.455002,52.292629,11890000
2014-03-21,55.742500,58.167500,54.924999,55.842499,52.658035,38092400
2014-03-24,56.347500,56.557499,54.775002,55.187500,52.040386,18228400
2014-03-25,55.547501,55.759998,54.599998,54.599998,51.486382,11675200
2014-03-26,54.987499,55.047501,53.919998,53.919998,50.845161,10657200
2014-03-27,53.722500,54.042500,53.262501,53.942501,50.866379,10489600
2014-03-28,53.619999,54.084999,52.630001,53.022499,49.998848,14950000
2014-03-31,53.197498,53.965000,52.917500,53.965000,50.887596,11639200
2014-04-01,54.270000,54.540001,53.637501,53.674999,50.614143,9090400
2014-04-02,53.695000,54.125000,53.342499,53.665001,50.604710,9344800
2014-04-03,53.947498,54.070000,53.345001,53.752499,50.687218,14210400
2014-04-04,53.892502,53.927502,51.437500,51.924999,48.963928,24449200
2014-04-07,51.695000,51.860001,50.255001,50.852501,47.952583,40124000
2014-04-08,50.705002,51.480000,50.500000,50.647499,47.759285,21745600
2014-04-09,51.145000,51.945000,50.654999,51.884998,48.926216,19142800
2014-04-10,52.064999,52.267502,50.037498,50.387501,47.514114,20403600
2014-04-11,49.807499,50.000000,48.709999,49.157501,46.354256,29939600
2014-04-14,49.950001,50.487499,49.502499,50.252499,47.386803,20925600
2014-04-15,50.959999,51.235001,49.792500,51.012501,48.103470,19214000
2014-04-16,51.750000,52.389999,51.369999,52.340000,49.355267,15832800
2014-04-17,52.584999,52.884998,51.987499,51.987499,49.022865,13364000
2014-04-21,52.244999,52.375000,52.097500,52.282501,49.301037,10012400
2014-04-22,52.334999,52.645000,52.132500,52.492500,49.499069,9840000
2014-04-23,52.575001,52.575001,52.000000,52.205002,49.227966,8819600
2014-04-24,52.450001,52.625000,51.897499,52.349998,49.364693,13547200
2014-04-25,50.000000,50.950001,49.639999,49.732498,46.896461,38239200
2014-04-28,49.875000,50.482498,49.752499,50.355000,47.483459,24263200
2014-04-29,50.472500,51.012501,50.447498,50.667500,47.778133,12760000
2014-04-30,50.564999,50.910000,50.474998,50.652500,47.763992,12145600
2014-05-01,51.025002,51.827499,50.840000,51.522499,48.584373,14273200
2014-05-02,51.435001,51.775002,51.000000,51.105000,48.190689,10908800
2014-05-05,50.937500,51.970001,50.750000,51.782501,48.829552,13792800
2014-05-06,51.674999,51.755001,51.299999,51.340000,48.412296,10873200
2014-05-07,51.752499,52.250000,51.110001,52.174999,49.199669,14732000
2014-05-08,52.232498,53.025002,52.152500,52.724998,49.718307,14613600
2014-05-09,52.544998,52.717499,52.037498,52.702499,49.697094,11795600
2014-05-12,52.770000,53.119999,52.757500,52.924999,49.906906,8732800
2014-05-13,52.997501,53.172501,52.849998,53.014999,49.991768,7137600
2014-05-14,52.799999,52.970001,52.465000,52.465000,49.849251,6838000
2014-05-15,52.250000,52.422501,51.605000,51.862499,49.276798,12685200
2014-05-16,51.897499,52.522499,51.897499,52.452499,49.837379,12279600
2014-05-19,52.345001,52.744999,52.212502,52.590000,49.968018,7039600
2014-05-20,52.580002,52.580002,51.849998,51.980000,49.388435,8740000
2014-05-21,52.212502,52.667500,52.147499,52.525002,49.906258,9096400
2014-05-22,52.532501,52.570000,52.174999,52.342499,49.732861,16870000
2014-05-23,52.497501,53.067501,52.427502,53.017502,50.374210,11117600
2014-05-27,53.247501,53.630001,53.205002,53.625000,50.951427,9676800
2014-05-28,53.625000,53.625000,53.252499,53.450001,50.785149,7223200
2014-05-29,53.500000,53.672501,53.375000,53.667500,50.991806,5260400
2014-05-30,53.970001,53.987499,53.332500,53.707500,51.029804,6136400
2014-06-02,53.842499,53.922501,53.209999,53.380001,50.718636,6364000
2014-06-03,53.257500,53.307499,52.700001,52.830002,50.196056,9011600
2014-06-04,52.790001,52.857498,52.362499,52.857498,50.222195,12589600
2014-06-05,53.029999,53.125000,52.654999,53.055000,50.409832,6597600
2014-06-06,53.132500,53.349998,52.902500,53.250000,50.595112,10002400
2014-06-09,53.372501,53.497501,52.907501,53.145000,50.495350,5516400
2014-06-10,53.250000,53.695000,53.187500,53.562500,50.892036,6835600
2014-06-11,53.247501,53.477501,53.029999,53.169998,50.519100,6758000
2014-06-12,53.097500,53.292500,52.807499,52.942501,50.302952,6218000
2014-06-13,52.967499,53.017502,52.712502,52.822498,50.188927,7085200
2014-06-16,52.720001,52.747501,52.492500,52.560001,49.939514,7899200
2014-06-17,52.535000,52.980000,52.474998,52.702499,50.074909,5722400
2014-06-18,52.612499,52.812500,52.257500,52.812500,50.179436,10326000
2014-06-19,52.867500,53.040001,52.005001,52.580002,49.958519,15331200
2014-06-20,52.880001,53.029999,52.275002,52.372501,49.761360,18358800
2014-06-23,52.250000,52.452499,52.044998,52.367500,49.756611,14765200
2014-06-24,52.317501,52.647499,51.845001,51.947498,49.357548,13089600
2014-06-25,51.827499,52.622501,51.827499,52.264999,49.659222,8244800
2014-06-26,52.457500,52.465000,51.889999,52.240002,49.635475,8580400
2014-06-27,52.025002,52.474998,51.965000,52.320000,49.711479,12961200
2014-06-30,52.165001,52.935001,52.125000,52.677502,50.051163,9961600
2014-07-01,52.987499,53.837502,52.957500,53.562500,50.892036,10993600
2014-07-02,53.720001,53.872501,53.562500,53.709999,51.032181,5768800
2014-07-03,53.827499,54.250000,53.775002,54.127499,51.428867,5571600
2014-07-07,54.107498,54.387501,53.910000,54.185001,51.483494,6612400
2014-07-08,54.192501,54.222500,53.287498,53.814999,51.131947,12149200
2014-07-09,53.875000,54.070000,53.627499,54.040001,51.345726,5177200
2014-07-10,53.450001,54.222500,53.169998,53.884998,51.198456,8536800
2014-07-11,53.987499,54.259998,53.592499,54.250000,51.545250,5696800
2014-07-14,54.687500,55.590000,54.412498,55.257500,52.502529,13716400
2014-07-15,55.417500,56.187500,55.224998,55.445000,52.680668,10900800
2014-07-16,55.735001,55.790001,55.270000,55.667500,52.892078,8853200
2014-07-17,55.485001,55.500000,54.457500,54.470001,51.754288,9806000
2014-07-18,54.794998,55.472500,54.730000,55.049999,52.305374,11068000
2014-07-21,54.882500,55.032501,54.627499,54.805000,52.072594,6168400
2014-07-22,55.230000,55.647499,55.152500,55.314999,52.557159,7699200
2014-07-23,55.372501,55.634998,55.169998,55.299999,52.542900,8189200
2014-07-24,55.847500,55.962502,55.457500,55.685001,52.908714,11947600
2014-07-25,53.525002,54.174999,52.834999,53.692501,51.015556,27530400
2014-07-28,53.605000,53.740002,53.279999,53.555000,50.884911,10401600
2014-07-29,53.599998,53.927502,53.332500,53.375000,50.713886,10577200
2014-07-30,53.372501,53.697498,53.362499,53.514999,50.846905,10422800
2014-07-31,53.317501,53.340000,52.752499,52.752499,50.122417,13874000
2014-08-01,52.467499,53.264999,52.445000,52.952499,50.312450,14100000
2014-08-04,53.212502,53.292500,52.880001,53.040001,50.395580,8079600
2014-08-05,52.875000,53.097500,52.292500,52.634998,50.010769,11151200
2014-08-06,52.494999,52.845001,52.452499,52.672501,50.046413,7528400
2014-08-07,52.794998,52.862499,52.150002,52.259998,49.654469,9568000
2014-08-08,52.220001,52.637501,52.052502,52.615002,49.991772,9256800
2014-08-11,52.759998,52.805000,52.507500,52.645000,50.020283,9018400
2014-08-12,52.522499,52.799999,52.362499,52.575001,49.953762,6442000
2014-08-13,52.737499,53.025002,52.615002,52.857498,50.607208,6451200
2014-08-14,53.022499,53.147499,52.827499,53.130001,50.868111,7136800
2014-08-15,53.222500,53.330002,52.482498,52.547501,50.310417,8999600
2014-08-18,52.872501,53.607498,52.817501,53.580002,51.298958,8352400
2014-08-19,53.687500,53.922501,53.532501,53.750000,51.461723,8212400
2014-08-20,53.645000,54.110001,53.607498,54.049999,51.748951,7296800
2014-08-21,54.125000,54.242500,53.927502,53.937500,51.641243,5544000
2014-08-22,54.049999,54.237499,53.825001,54.022499,51.722610,7145600
